pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(q,r)",109,1,2,2,10,23,17,13,41
"(q,s)",372,2,4,14,34,43,70,63,142
"(q,t)",102,1,4,14,4,12,15,22,30
"(q,u)",3,0,0,2,1,0,0,0,0
"(q,v)",1,1,0,0,0,0,0,0,0
"(q,w)",3,0,1,0,1,0,0,0,1
"(q,x)",4,0,0,0,0,0,2,0,2
"(q,y)",160,1,2,2,21,18,25,9,82
"(q,z)",4,0,1,0,2,0,0,0,1
"(r,a)",362,5,23,31,60,66,46,35,96
"(r,b)",37,7,4,9,11,4,1,1,0
"(r,c)",200,3,0,10,10,24,21,16,116
"(r,d)",1794,10,23,43,167,205,368,297,681
"(r,e)",2738,8,47,79,269,323,412,443,1157
"(r,f)",75,1,9,0,11,8,8,12,26
"(r,g)",1538,5,4,12,49,113,163,312,880
"(r,h)",251,2,9,18,26,60,58,32,46
"(r,i)",89,3,11,14,13,20,9,8,11
"(r,j)",1,1,0,0,0,0,0,0,0
"(r,k)",187,2,16,6,44,44,40,22,13
"(r,l)",562,1,16,37,84,84,83,70,187
"(r,m)",302,6,7,6,28,21,52,54,128
"(r,n)",1283,5,14,62,103,101,127,134,737
"(r,o)",122,3,7,19,29,27,18,9,10
"(r,p)",115,3,12,10,19,23,5,11,32
"(r,q)",1,1,0,0,0,0,0,0,0
"(r,r)",1038,0,9,43,143,171,231,158,283
"(r,s)",3440,7,47,128,226,530,569,610,1323
"(r,t)",1170,7,26,43,147,161,199,184,403
"(r,u)",22,0,4,6,5,5,2,0,0
"(r,v)",6,2,0,1,2,1,0,0,0
"(r,w)",59,4,0,6,23,6,13,2,5
"(r,x)",41,5,1,13,3,6,5,5,3
"(r,y)",1328,4,14,85,93,127,128,166,711
"(r,z)",9,1,2,0,1,0,1,2,2
"(s,a)",1435,9,39,117,175,192,217,179,507
"(s,b)",79,4,21,16,16,4,12,4,2
"(s,c)",1181,5,7,15,36,80,127,130,781
"(s,d)",3044,10,50,92,233,498,536,526,1099
"(s,e)",5421,7,63,229,397,625,790,944,2366
"(s,f)",208,2,10,32,15,12,15,24,98
"(s,g)",1979,5,37,33,58,221,467,340,818
"(s,h)",796,4,22,64,138,101,149,138,180
"(s,i)",354,8,20,50,77,65,52,34,48
"(s,j)",5,1,1,1,2,0,0,0,0
"(s,k)",476,4,22,84,49,52,100,91,74
"(s,l)",2048,7,22,96,122,168,243,270,1120
"(s,m)",1104,7,31,38,57,97,157,180,537
"(s,n)",2524,6,33,98,203,304,365,356,1159
"(s,o)",306,2,22,47,61,61,48,34,31
"(s,p)",369,8,31,61,26,33,37,35,138
"(s,q)",5,3,2,0,0,0,0,0,0
"(s,r)",2634,8,27,93,268,555,451,367,865
"(s,s)",8129,5,50,299,657,825,1294,1387,3612
"(s,t)",2195,8,60,146,153,232,367,403,826
"(s,u)",63,6,7,15,15,12,3,4,1
"(s,v)",13,2,7,3,0,1,0,0,0
"(s,w)",100,3,19,15,12,15,18,9,9
"(s,x)",112,4,3,10,21,13,22,12,27
"(s,y)",4121,10,19,152,392,361,440,403,2344
"(s,z)",40,2,5,7,9,10,6,1,0
